Sample	Population code	Population	Superpopulation code	Superpopulation	Source	Latitude	Longitude	Region	Sample Alias	Country	Town	Single_Ancestry	k7_EUR	k7_AHG	k7_WAS	k7_NAT	k7_EAS	k7_SAS	k7_AFR	k8_EUR	k8_AFR	k8_NAT	k8_EAS	k8_SAS	k8_AHG	k8_OCE	k8_WAS	k6_AHG	k6_EAS	k6_NAT	k6_AFR	k6_EUR	k6_SAS	Panel
HG01086	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.48933000000000004	0.006664	0.20452599999999999	0.181894	1e-05	1e-05	0.117566	0.48846000000000006	0.11746400000000001	0.181963	1e-05	1e-05	0.006634999999999999	1e-05	0.205447	0.006997	1e-05	0.185258	0.121478	0.686246	1e-05	
HG01088	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.5242829999999999	0.003679	0.183445	0.112917	1e-05	1e-05	0.17565699999999998	0.523628	0.175469	0.11296800000000001	1.4999999999999999e-05	1e-05	0.0037270000000000003	1e-05	0.184174	0.004256	1e-05	0.11670699999999999	0.178472	0.700545	1e-05	
HG01089	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.534656	0.008773999999999999	0.175601	0.14178	1e-05	1e-05	0.13916900000000001	0.533971	0.13904	0.141871	1e-05	1e-05	0.008759999999999999	1e-05	0.17632799999999998	0.00911	1e-05	0.146544	0.141862	0.7024630000000001	1e-05	
HG01092	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.467003	0.005321	0.166872	0.125834	1e-05	1e-05	0.234949	0.465664	0.234817	0.125933	1e-05	1e-05	0.005274	1e-05	0.168283	0.0058969999999999995	1e-05	0.130192	0.237675	0.626216	1e-05	
HG01094	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.556608	0.000252	0.20836	0.114856	1e-05	1e-05	0.119904	0.555736	0.11973699999999998	0.114658	1e-05	1e-05	0.00018700000000000002	0.0010220000000000001	0.20864000000000002	0.000701	1e-05	0.11853699999999999	0.123375	0.757367	1e-05	
HG01095	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.555435	0.006377000000000001	0.220992	0.12038900000000001	1e-05	1e-05	0.096786	0.554689	0.096677	0.12049800000000001	1e-05	1e-05	0.006335	1e-05	0.221771	0.006772	1e-05	0.12386400000000002	0.100674	0.76867	1e-05	
HG01097	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.548562	1e-05	0.22623800000000002	0.145393	1e-05	1e-05	0.079777	0.547611	0.07964	0.145452	1e-05	1e-05	1e-05	1e-05	0.22725599999999999	1e-05	1e-05	0.149499	0.08467899999999999	0.765792	1e-05	
HG01098	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.562262	1e-05	0.214232	0.134138	1e-05	1e-05	0.089338	0.561117	0.089198	0.134252	1e-05	1e-05	1e-05	1e-05	0.21539299999999997	1e-05	1e-05	0.137923	0.093323	0.768724	1e-05	
HG01101	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.480012	0.003527	0.21368499999999999	0.165256	1e-05	1e-05	0.1375	0.47938000000000003	0.13735999999999998	0.16534000000000001	1e-05	1e-05	0.003547	1e-05	0.21434299999999998	0.004077	1e-05	0.168207	0.141898	0.6857989999999999	1e-05	
HG01102	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.5462	1e-05	0.156349	0.126959	1e-05	1e-05	0.170462	0.545986	0.17036500000000002	0.12704300000000002	1e-05	1e-05	1e-05	1e-05	0.156566	1e-05	1e-05	0.131512	0.172573	0.6958840000000001	1e-05	
HG01104	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.590616	1e-05	0.207315	0.125212	1e-05	1e-05	0.07682699999999999	0.5897899999999999	0.07669400000000001	0.12529500000000002	1e-05	1e-05	1e-05	1e-05	0.20818000000000003	1e-05	1e-05	0.129442	0.08015499999999999	0.7903720000000001	1e-05	
HG01105	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.654381	1e-05	0.198917	0.074836	1e-05	1e-05	0.071837	0.653582	0.071711	0.074892	1e-05	1e-05	1e-05	1e-05	0.199775	1e-05	1e-05	0.079183	0.07454	0.846247	1e-05	
HG01107	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.47200600000000004	0.011672	0.203029	0.109352	1e-05	1e-05	0.203921	0.47144899999999995	0.203786	0.10946900000000001	1e-05	1e-05	0.011669	1e-05	0.203597	0.012189	1e-05	0.11219900000000001	0.208065	0.6675260000000001	1e-05	
HG01108	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.25347800000000004	0.006213000000000001	0.046909	0.074781	1e-05	1e-05	0.618599	0.253118	0.618524	0.074851	1e-05	1e-05	0.006184	1e-05	0.047293	0.005739	1e-05	0.077074	0.619075	0.298091	1e-05	
HG01110	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.5235270000000001	0.0036409999999999997	0.211069	0.148955	1e-05	1e-05	0.11278900000000001	0.524209	0.11273299999999999	0.14844300000000002	1e-05	1e-05	0.003638	1e-05	0.210948	0.004021	1e-05	0.152858	0.11683800000000001	0.726262	1e-05	
HG01111	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.55157	1e-05	0.197495	0.138975	1.2e-05	1e-05	0.111929	0.5508569999999999	0.11182	0.139075	1e-05	1e-05	1e-05	1e-05	0.198208	1e-05	1.2e-05	0.143127	0.11552799999999999	0.741313	1e-05	
HG01112	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.720812	1e-05	0.19908499999999998	0.065617	1e-05	1e-05	0.014455	0.719943	0.01435	0.065635	1e-05	1e-05	1e-05	1e-05	0.200032	1e-05	1e-05	0.070052	0.016804	0.913114	1e-05	
HG01113	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.511502	1e-05	0.199818	0.28864	1e-05	1e-05	1e-05	0.510675	1e-05	0.288697	1e-05	1e-05	1e-05	1e-05	0.200578	1e-05	1e-05	0.292401	0.004654999999999999	0.702914	1e-05	
HG01119	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.63569	1e-05	0.218615	0.12394300000000001	1e-05	1e-05	0.021721999999999998	0.635107	0.021648	0.12401600000000002	1e-05	1.7e-05	1e-05	1e-05	0.21918200000000002	1e-05	1e-05	0.128724	0.024871	0.846374	1e-05	
HG01121	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.46614700000000003	1e-05	0.19556600000000002	0.29882	1e-05	1e-05	0.039436	0.46543	0.039344	0.29891999999999996	1e-05	1e-05	1e-05	1e-05	0.196267	1e-05	1e-05	0.302545	0.042894999999999996	0.6545300000000001	1e-05	
HG01122	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.515624	1e-05	0.205569	0.21855700000000003	1e-05	1e-05	0.06021900000000001	0.515223	0.06015	0.218651	1e-05	1e-05	1e-05	1e-05	0.205936	1e-05	1e-05	0.222498	0.063855	0.7136170000000001	1e-05	
HG01124	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.44347600000000004	0.0011330000000000001	0.13485	0.28479699999999997	1e-05	1e-05	0.135724	0.442737	0.135629	0.284854	1e-05	1e-05	0.001123	1e-05	0.135626	0.0017050000000000001	1e-05	0.288765	0.137208	0.5723020000000001	1e-05	
HG01125	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.48221899999999995	1e-05	0.18168800000000002	0.247002	1e-05	1e-05	0.089061	0.480671	0.088643	0.246071	1e-05	1e-05	1e-05	0.002989	0.181596	1e-05	1e-05	0.251102	0.092683	0.656184	1e-05	
HG01130	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.51536	6.4e-05	0.177005	0.253264	1e-05	1e-05	0.054287	0.51441	0.054234000000000004	0.253339	1e-05	1e-05	1.2e-05	1e-05	0.177975	0.000391	1e-05	0.257657	0.056786	0.685146	1e-05	
HG01131	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.52992	1e-05	0.163487	0.247734	1e-05	1e-05	0.05882999999999999	0.52998	0.058778	0.24780300000000002	1e-05	1e-05	1e-05	1e-05	0.163399	1e-05	1e-05	0.252564	0.06114	0.6862659999999999	1e-05	
HG01133	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.633588	1e-05	0.20796900000000001	0.143425	1e-05	1e-05	0.014988	0.633337	0.014925	0.143497	1e-05	1e-05	1e-05	1e-05	0.20820100000000002	1e-05	1e-05	0.148268	0.017999	0.8337030000000001	1e-05	
HG01134	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.523242	1e-05	0.142491	0.216469	1e-05	1e-05	0.11776800000000001	0.522579	0.11766800000000001	0.21653000000000003	1e-05	1e-05	1e-05	1e-05	0.143182	1e-05	1e-05	0.22113400000000002	0.119243	0.659592	1e-05	
HG01136	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.482388	1e-05	0.154859	0.27779899999999996	1e-05	1e-05	0.084923	0.481955	0.084842	0.277856	1e-05	1e-05	1e-05	1e-05	0.155307	1e-05	1e-05	0.282025	0.087226	0.6307189999999999	1e-05	
HG01137	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.48602799999999996	1e-05	0.16405999999999998	0.332136	1e-05	1e-05	0.017745	0.48513500000000004	0.017634	0.33221100000000003	1e-05	1e-05	1e-05	1e-05	0.16498	1e-05	1e-05	0.336497	0.019993	0.64348	1e-05	
HG01139	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.40713	0.001503	0.12649100000000002	0.292484	1e-05	1e-05	0.172372	0.40671	0.172342	0.292582	1e-05	1e-05	0.001454	1e-05	0.126882	0.0015539999999999998	1e-05	0.296476	0.17414100000000002	0.527809	1e-05	
HG01140	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.500953	1e-05	0.198595	0.269239	1e-05	1e-05	0.031183	0.500276	0.031106	0.269302	1e-05	1e-05	1e-05	1e-05	0.199275	1e-05	1e-05	0.273363	0.034835000000000005	0.691772	1e-05	
HG01142	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.351018	1e-05	0.107867	0.35496500000000003	1e-05	1e-05	0.18612	0.350736	0.186032	0.355031	1e-05	1e-05	1e-05	1e-05	0.108161	1.1e-05	1e-05	0.358252	0.18779200000000001	0.453925	1e-05	
HG01148	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.536191	1e-05	0.159702	0.251231	1e-05	1e-05	0.052846000000000004	0.534818	0.0526	0.250847	1e-05	1e-05	1e-05	0.001424	0.16028199999999998	1e-05	1e-05	0.256201	0.054955	0.688814	1e-05	
HG01149	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.373413	1e-05	0.09890399999999999	0.434008	1e-05	1e-05	0.093645	0.37314400000000003	0.093512	0.43374700000000005	1e-05	1e-05	1e-05	0.000743	0.09882300000000001	1e-05	1e-05	0.438487	0.094823	0.46666	1e-05	
HG01161	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.49466000000000004	0.007981	0.16008499999999998	0.16407	1e-05	1e-05	0.173183	0.49426899999999996	0.172942	0.16405699999999998	1e-05	1e-05	0.008094	1e-05	0.160608	0.008164	1e-05	0.16811700000000002	0.175503	0.648195	1e-05	
HG01162	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.543927	1e-05	0.210522	0.156254	1e-05	1e-05	0.089268	0.5431560000000001	0.089155	0.156371	1e-05	1e-05	1e-05	1e-05	0.211279	1e-05	1e-05	0.160237	0.093224	0.746509	1e-05	
HG01164	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.581448	1e-05	0.206979	0.117632	1e-05	1e-05	0.09391000000000001	0.580825	0.093801	0.117717	1e-05	1e-05	1e-05	1e-05	0.207617	1e-05	1e-05	0.12158	0.097386	0.781004	1e-05	
HG01167	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.47154399999999996	0.005757	0.157585	0.14703	1e-05	1e-05	0.21806399999999998	0.470728	0.21800799999999998	0.14718299999999998	1e-05	1e-05	0.005676	1e-05	0.158375	0.005874	1e-05	0.15098	0.220633	0.6224930000000001	1e-05	
HG01168	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.561561	1e-05	0.359504	0.05923200000000001	1e-05	1e-05	0.019672	0.5601470000000001	0.019556999999999998	0.059382000000000004	1e-05	1e-05	1e-05	1e-05	0.360874	1e-05	1e-05	0.061469	0.026826999999999997	0.9106989999999999	0.000985	
HG01170	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.526663	0.000571	0.20726799999999998	0.159163	1e-05	1e-05	0.106315	0.52598	0.10614000000000001	0.15938	1e-05	1e-05	0.000638	1e-05	0.20783200000000002	0.001155	1e-05	0.163135	0.109911	0.725779	1e-05	
HG01171	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.49532600000000004	0.009359000000000001	0.194303	0.131176	1e-05	1e-05	0.16981500000000002	0.494777	0.169691	0.13125799999999999	1e-05	1e-05	0.00935	1e-05	0.194894	0.010020000000000001	1e-05	0.134745	0.173312	0.681902	1e-05	
HG01173	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.592737	1e-05	0.288379	0.060385	1e-05	1e-05	0.05846900000000001	0.592036	0.058353999999999996	0.060476	1e-05	1e-05	1e-05	1e-05	0.289093	1e-05	1e-05	0.063301	0.065134	0.8715350000000001	1e-05	
HG01174	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.649287	1e-05	0.18185199999999999	0.11180799999999999	1e-05	1e-05	0.057023000000000004	0.6486069999999999	0.056927	0.11185999999999999	1e-05	1e-05	1e-05	1e-05	0.182566	1e-05	1e-05	0.11673900000000001	0.059255999999999996	0.823975	1e-05	
HG01176	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.554786	1e-05	0.198355	0.16431500000000002	1e-05	1e-05	0.082514	0.55435	0.082403	0.164216	1e-05	1e-05	1e-05	1e-05	0.19899	1e-05	1e-05	0.168425	0.085883	0.745661	1e-05	
HG01177	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.550938	1e-05	0.194102	0.185068	1e-05	1e-05	0.069862	0.550283	0.06969600000000001	0.184872	1e-05	1e-05	1e-05	0.00085	0.19427	1e-05	1e-05	0.18977	0.072885	0.737314	1e-05	
HG01182	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.525266	1e-05	0.196277	0.153428	1e-05	1e-05	0.124999	0.52495	0.124899	0.15341400000000002	1e-05	1e-05	1e-05	1e-05	0.196696	1e-05	1e-05	0.157317	0.128826	0.713827	1e-05	
HG01183	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.556426	1e-05	0.162052	0.169742	1e-05	1e-05	0.11175	0.555804	0.111647	0.169826	1e-05	1e-05	1e-05	1e-05	0.162683	1e-05	1e-05	0.17464000000000002	0.11402899999999999	0.7113010000000001	1e-05	
HG01187	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.435992	0.004222	0.145757	0.249439	1e-05	1e-05	0.16457	0.435274	0.16436099999999998	0.249507	1e-05	1e-05	0.004305	1e-05	0.14652300000000001	0.004272	1e-05	0.25316	0.167027	0.57552	1e-05	
HG01188	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.414713	0.003148	0.163198	0.211646	1e-05	1e-05	0.20727600000000002	0.41411400000000004	0.20706999999999998	0.211745	1e-05	1e-05	0.003229	1e-05	0.16381199999999999	0.0033539999999999998	1e-05	0.21495	0.21073699999999998	0.5709390000000001	1e-05	
HG01190	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.45689300000000005	0.000305	0.161772	0.226442	1e-05	1e-05	0.154569	0.456189	0.15448499999999998	0.22653299999999998	1e-05	1e-05	0.00027	1e-05	0.162493	0.000327	1e-05	0.23021799999999998	0.15756199999999998	0.611873	1e-05	
HG01191	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.534647	1e-05	0.18978	0.187256	1e-05	1e-05	0.088287	0.533776	0.088163	0.187332	1e-05	1e-05	1e-05	1e-05	0.190689	1e-05	1e-05	0.191424	0.091765	0.716781	1e-05	
HG01197	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.596616	1e-05	0.21144200000000002	0.13363599999999998	1e-05	1e-05	0.058276	0.5954109999999999	0.058138	0.133731	1e-05	1e-05	1e-05	1e-05	0.212679	1e-05	1e-05	0.137722	0.061753999999999996	0.8004939999999999	1e-05	
HG01198	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.49581499999999995	0.000377	0.17172300000000001	0.150186	1e-05	1e-05	0.18187899999999999	0.49489700000000003	0.181752	0.150274	1e-05	1e-05	0.000365	1e-05	0.172682	0.000357	1e-05	0.153861	0.18502000000000002	0.660741	1e-05	
HG01200	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.645509	1e-05	0.226421	0.0843	1e-05	1e-05	0.04374	0.644977	0.043641	0.084399	1e-05	1e-05	1e-05	1e-05	0.22694299999999998	1e-05	1e-05	0.088399	0.047132	0.864439	1e-05	
HG01204	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.5494829999999999	1e-05	0.22180500000000003	0.13717200000000002	1e-05	1e-05	0.09151000000000001	0.547338	0.091019	0.136489	1e-05	1e-05	1e-05	0.0030559999999999997	0.222068	1e-05	1e-05	0.141227	0.096292	0.762452	1e-05	
HG01205	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.593014	0.005156	0.18199	0.111549	1e-05	1e-05	0.108271	0.591765	0.10818900000000001	0.111616	1e-05	1e-05	0.00509	1e-05	0.183311	0.005524	1e-05	0.11594700000000001	0.11056400000000001	0.767945	1e-05	
HG01241	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.189057	0.042293	0.053736	0.068584	1e-05	1e-05	0.646311	0.188898	0.646311	0.068682	1e-05	1e-05	0.042184	1e-05	0.053896000000000006	0.042515	1e-05	0.070049	0.647317	0.24009899999999998	1e-05	
HG01242	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.325421	0.016036	0.10748800000000001	0.059814	1e-05	1e-05	0.49122200000000005	0.324318	0.49083999999999994	0.05926	1e-05	1e-05	0.015849000000000002	0.002307	0.107405	0.016246	1e-05	0.062323	0.493307	0.428104	1e-05	
HG01247	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.496312	0.006155	0.13968699999999998	0.166562	1e-05	1e-05	0.19126400000000002	0.495507	0.191174	0.166621	1e-05	1e-05	0.006097999999999999	1e-05	0.140569	0.006154	1e-05	0.17107	0.192964	0.629792	1e-05	
HG01248	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.549517	0.009566	0.233591	0.11106700000000001	1e-05	1e-05	0.096239	0.548696	0.096085	0.1112	1e-05	1e-05	0.009573	1e-05	0.23441599999999999	0.010098000000000001	1e-05	0.11478900000000002	0.100549	0.774544	1e-05	
HG01250	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.476699	1e-05	0.141535	0.307869	1e-05	1e-05	0.073866	0.476063	0.073773	0.307935	1e-05	1e-05	1e-05	1e-05	0.142189	1e-05	1e-05	0.312452	0.07577	0.611748	1e-05	
HG01251	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.55483	1e-05	0.169747	0.25758400000000004	1e-05	1e-05	0.017808	0.5539109999999999	0.017730000000000003	0.25766500000000003	1e-05	1e-05	1e-05	1e-05	0.170653	1e-05	1e-05	0.26266	0.020118	0.717192	1e-05	
HG01253	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.558873	1e-05	0.18506199999999998	0.214704	1e-05	1e-05	0.041331	0.557994	0.041224000000000004	0.214784	1e-05	1e-05	1e-05	1e-05	0.18595899999999999	1e-05	1e-05	0.219198	0.044012	0.7367600000000001	1e-05	
HG01254	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.414415	0.00237	0.133805	0.288485	1e-05	1e-05	0.160906	0.41393800000000003	0.16087	0.288565	1e-05	1e-05	0.002306	1e-05	0.13429100000000002	0.002592	1e-05	0.292464	0.162906	0.542018	1e-05	
HG01256	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.61824	1e-05	0.215504	0.162472	1e-05	1e-05	0.003754	0.617718	0.0036850000000000003	0.162475	1e-05	1e-05	1e-05	1e-05	0.216083	1e-05	1e-05	0.166954	0.006651000000000001	0.826365	1e-05	
HG01257	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.546303	1.1e-05	0.15323599999999998	0.291371	1e-05	1e-05	0.009059999999999999	0.545374	0.008974	0.291446	1e-05	1e-05	1e-05	1e-05	0.154166	1e-05	1e-05	0.29683000000000004	0.010676	0.6924640000000001	1e-05	
HG01259	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.657612	1e-05	0.20468599999999998	0.118308	1e-05	1e-05	0.019364	0.657247	0.019283	0.11836600000000001	1e-05	1.4999999999999999e-05	1e-05	1e-05	0.20505900000000002	1e-05	1e-05	0.123181	0.02241	0.8543799999999999	1e-05	
HG01260	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.44086499999999995	0.000348	0.13478199999999999	0.29605	1e-05	1e-05	0.127934	0.440241	0.12784600000000002	0.296126	1e-05	1e-05	0.000336	1e-05	0.13542	0.000504	1e-05	0.300222	0.129631	0.569624	1e-05	
HG01269	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.51774	1e-05	0.162057	0.258431	1e-05	1e-05	0.061742	0.516844	0.061632000000000006	0.258511	1e-05	1e-05	1e-05	1e-05	0.162973	1e-05	1e-05	0.263455	0.064216	0.672299	1e-05	
HG01271	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.50256	1e-05	0.17111099999999999	0.25340799999999997	1e-05	1e-05	0.072891	0.501758	0.072744	0.253345	1e-05	1e-05	1e-05	0.000571	0.171552	0.000199	1e-05	0.257684	0.075532	0.666565	1e-05	
HG01272	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.40271799999999996	0.0029649999999999998	0.108444	0.309314	1e-05	1e-05	0.176539	0.40211199999999997	0.176208	0.30914899999999995	1e-05	1e-05	0.003107	0.0006309999999999999	0.10877200000000001	0.003326	1e-05	0.313208	0.17737999999999998	0.506066	1e-05	
HG01275	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.7716029999999999	1e-05	0.193146	0.034347	1e-05	1e-05	0.000874	0.7705890000000001	0.0006799999999999999	0.034381999999999996	1e-05	1e-05	1e-05	1e-05	0.19430899999999998	1e-05	1e-05	0.038776	0.004246	0.9569479999999999	1e-05	
HG01277	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.471763	1e-05	0.175505	0.351299	1e-05	1e-05	0.001403	0.471024	0.001277	0.351445	1e-05	1e-05	1e-05	1e-05	0.176214	1e-05	1e-05	0.354976	0.005354	0.63964	1e-05	
HG01280	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.5457989999999999	1e-05	0.168382	0.269504	1e-05	1e-05	0.016284	0.544988	0.016212	0.269597	1e-05	1e-05	1e-05	1e-05	0.169163	1e-05	1e-05	0.274441	0.018389	0.70714	1e-05	
HG01281	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.540829	1e-05	0.192132	0.24727800000000003	1e-05	1e-05	0.019731	0.53945	0.019583	0.247218	1e-05	1e-05	1e-05	0.000488	0.193232	1e-05	1e-05	0.25143899999999997	0.022713	0.7258180000000001	1e-05	
HG01284	CLM	Colombian	AMR	American	1kG	6.2308330000000005	-75.590556	Medellin, Colombia				0	0.502271	1e-05	0.215583	0.22305500000000003	1e-05	1e-05	0.059062	0.501566	0.058961	0.223167	1e-05	1e-05	1e-05	1e-05	0.21626599999999999	1e-05	1e-05	0.226665	0.063512	0.709793	1e-05	
HG01286	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.48606499999999997	0.001847	0.158163	0.135455	1e-05	1e-05	0.21845	0.485724	0.218302	0.13555799999999998	1e-05	1e-05	0.0018859999999999999	1e-05	0.158499	0.0019140000000000001	1e-05	0.13974	0.220964	0.637362	1e-05	
HG01302	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.493608	1e-05	0.214246	0.189527	1e-05	1e-05	0.10259000000000001	0.49303800000000003	0.102478	0.189619	1e-05	1e-05	1e-05	1e-05	0.21482600000000002	1e-05	1e-05	0.19283599999999998	0.10744300000000001	0.6996899999999999	1e-05	
HG01303	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.5044529999999999	1e-05	0.203174	0.18438800000000002	1e-05	1e-05	0.107955	0.5040020000000001	0.107852	0.18448499999999998	1e-05	1e-05	1e-05	1e-05	0.20362	1.1e-05	1e-05	0.18816300000000002	0.112175	0.699631	1e-05	
HG01305	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.526428	1e-05	0.145034	0.176556	1e-05	1e-05	0.151953	0.525216	0.151805	0.17673	1e-05	1e-05	1e-05	1e-05	0.146208	1e-05	1e-05	0.181253	0.153626	0.665091	1e-05	
HG01308	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.47888400000000003	0.0067670000000000004	0.140523	0.149806	1e-05	1e-05	0.224	0.47812200000000005	0.223929	0.149911	1e-05	1e-05	0.006706	1e-05	0.141302	0.0066879999999999995	1e-05	0.153968	0.226071	0.6132529999999999	1e-05	
HG01311	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.605083	1e-05	0.217651	0.091585	1e-05	1e-05	0.085651	0.604395	0.08559	0.091652	1e-05	1e-05	1e-05	1e-05	0.218323	1e-05	1e-05	0.095436	0.089662	0.814871	1e-05	
HG01312	PUR	Puerto Rican	AMR	American	1kG	18.22813055	-66.47307604					0	0.573346	1e-05	0.194057	0.119076	1e-05	1e-05	0.11349200000000001	0.572375	0.113355	0.11915799999999999	1e-05	1e-05	1e-05	1e-05	0.195072	1e-05	1e-05	0.123208	0.116677	0.760084	1e-05	
